symbol,mean,sd,median,lowerCI,upperCI
N,23917,1560.2,23887,20971,27142
sigma_obs,1857.3,380.91,1826.1,1207.7,2669.9
sigma_zeta,0.0185,8.24E-04,0.0185,0.017,0.0202
alpha,0.32,0.0876,0.32,0.148,0.491
beta,1.06,0.0502,1.06,0.966,1.16
alpha_prime,0.296,0.0714,0.295,0.155,0.435
beta_prime,1.07,0.00757,1.07,1.05,1.08
sigma_prime,1.19,0.0415,1.18,1.11,1.27
